"gender","age","income","goal","career","dec","attr","sinc","intel","fun","amb","shar","like","prob","met"
0,22,54620,1,"Law",0,6,6,8,4,9,4,7,3,1
0,22,54620,1,"Law",0,3,6,8,7,8,8,7,8,1
0,22,54620,1,"Law",1,7,8,8,7,7,6,8,6,1
0,22,54620,1,"Law",0,4,7,7,4,8,5,5,6,1
0,22,54620,1,"Law",0,4,8,7,4,5,4,5,5,2
0,22,54620,1,"Law",1,7,7,8,7,7,7,8,7,2
0,22,54620,1,"Law",0,5,7,8,5,9,5,5,7,2
0,22,54620,1,"Law",1,6,6,8,8,8,6,6,6,2
0,22,54620,1,"Law",1,8,6,7,7,8,6,7,5,2
0,25,NA,1,"Journalist",1,5,8,7,4,7,5,4,5,2
0,25,NA,1,"Journalist",1,8,7,7,9,6,7,8,7,2
0,25,NA,1,"Journalist",1,5,8,8,6,7,7,5,5,2
0,25,NA,1,"Journalist",1,8,6,5,6,6,5,5,6,2
0,25,NA,1,"Journalist",1,6,8,8,5,6,7,6,5,2
0,25,NA,1,"Journalist",1,6,8,8,5,6,7,6,5,2
0,25,NA,1,"Journalist",1,6,7,8,5,7,7,6,6,2
0,25,NA,1,"Journalist",1,5,6,7,4,5,6,5,4,2
0,25,NA,1,"Journalist",1,8,8,5,9,8,9,7,10,2
0,25,NA,1,"Journalist",1,7,6,8,7,9,8,8,7,2
0,26,NA,1,"Congresswoman, and comedian",1,8,10,9,8,7,6,5,5,2
0,26,NA,1,"Congresswoman, and comedian",1,10,10,10,10,10,10,10,5,2
0,26,NA,1,"Congresswoman, and comedian",1,5,10,10,6,6,6,8,5,2
0,26,NA,1,"Congresswoman, and comedian",1,10,9,8,8,7,7,7,5,2
0,26,NA,1,"Congresswoman, and comedian",1,5,10,8,8,5,5,5,5,2
0,26,NA,1,"Congresswoman, and comedian",1,8,9,9,7,6,5,6,5,2
0,26,NA,1,"Congresswoman, and comedian",1,6,8,9,6,6,6,7,5,2
0,26,NA,1,"Congresswoman, and comedian",1,6,7,8,7,9,6,7,5,2
0,26,NA,1,"Congresswoman, and comedian",1,8,5,5,6,5,5,7,6,2
0,26,NA,1,"Congresswoman, and comedian",1,7,8,7,8,7,8,8,5,2
0,26,48652,2,"To create early childhood intervention programs",0,6,10,10,6,6,NA,6,3,2
0,26,48652,2,"To create early childhood intervention programs",0,1,1,1,1,1,NA,1,1,1
0,26,48652,2,"To create early childhood intervention programs",1,6,10,10,10,6,NA,7,6,2
0,26,48652,2,"To create early childhood intervention programs",0,10,10,10,10,10,NA,10,1,1
0,26,48652,2,"To create early childhood intervention programs",0,5,7,7,7,7,NA,6,1,2
0,26,48652,2,"To create early childhood intervention programs",0,5,10,6,4,6,NA,6,1,2
0,26,48652,2,"To create early childhood intervention programs",1,5,10,8,6,9,NA,7,1,2
0,26,48652,2,"To create early childhood intervention programs",0,5,6,6,4,5,NA,5,5,2
0,26,48652,2,"To create early childhood intervention programs",1,9,9,9,9,9,9,9,9,2
0,26,48652,2,"To create early childhood intervention programs",1,9,9,8,10,8,8,9,10,2
1,27,NA,1,"Academia, Research, Banking, Life",0,6,8,8,8,8,6,7,4,2
1,27,NA,1,"Academia, Research, Banking, Life",0,8,7,6,9,7,4,7,2,2
1,27,NA,1,"Academia, Research, Banking, Life",0,7,8,6,5,8,4,5,2,1
1,27,NA,1,"Academia, Research, Banking, Life",0,6,7,8,7,7,5,6,3,2
1,27,NA,1,"Academia, Research, Banking, Life",0,6,8,8,8,7,6,6,5,2
1,27,NA,1,"Academia, Research, Banking, Life",0,7,9,8,9,8,4,7,4,2
1,27,NA,1,"Academia, Research, Banking, Life",0,7,8,8,8,7,7,7,4,2
1,27,NA,1,"Academia, Research, Banking, Life",0,8,7,6,6,6,5,7,4,2
1,27,NA,1,"Academia, Research, Banking, Life",0,6,8,7,8,7,5,6,4,2
1,27,NA,1,"Academia, Research, Banking, Life",0,7,8,7,8,6,5,6,3,2
1,22,29237,1,"Corporate Lawyer",0,7,8,10,7,7,5,8,4,2
1,22,29237,1,"Corporate Lawyer",0,7,6,10,6,6,5,8,4,2
1,22,29237,1,"Corporate Lawyer",0,6,7,10,6,6,5,7,3,2
1,22,29237,1,"Corporate Lawyer",0,6,5,10,6,6,5,6,3,1
1,22,29237,1,"Corporate Lawyer",0,6,7,10,7,6,5,7,4,1
1,22,29237,1,"Corporate Lawyer",0,6,8,10,6,7,6,7,4,2
1,22,29237,1,"Corporate Lawyer",1,7,9,10,6,6,5,8,4,1
1,22,29237,1,"Corporate Lawyer",1,8,8,10,7,6,5,9,4,2
1,22,29237,1,"Corporate Lawyer",1,8,8,10,7,6,5,8,4,2
1,22,29237,1,"Corporate Lawyer",0,1,1,1,1,1,1,1,1,2
1,22,NA,2,"Lawyer",1,10,10,10,10,10,10,10,10,1
1,22,NA,2,"Lawyer",1,10,10,10,10,10,10,10,10,2
1,22,NA,2,"Lawyer",1,10,10,10,10,10,10,10,10,2
1,22,NA,2,"Lawyer",1,10,10,10,10,10,10,10,10,NA
1,22,NA,2,"Lawyer",1,10,10,10,10,10,10,10,10,1
1,22,NA,2,"Lawyer",1,10,10,10,10,10,10,10,10,1
1,22,NA,2,"Lawyer",1,10,10,10,10,10,10,10,10,NA
1,22,NA,2,"Lawyer",1,10,10,10,10,10,10,10,10,2
1,22,NA,2,"Lawyer",1,10,10,10,10,10,10,10,10,2
1,22,NA,2,"Lawyer",1,10,10,10,10,10,10,10,10,2
1,23,56580,2,"Corporate attorney",1,7,8,9,8,9,8,7,7,2
1,23,56580,2,"Corporate attorney",1,9,9,9,9,9,9,9,7,2
1,23,56580,2,"Corporate attorney",1,7,9,8,8,8,8,7,7,2
1,23,56580,2,"Corporate attorney",1,7,7,7,9,9,9,8,10,1
1,23,56580,2,"Corporate attorney",1,6,8,6,8,10,10,7,7,1
1,23,56580,2,"Corporate attorney",1,6,8,8,7,9,8,7,7,2
1,23,56580,2,"Corporate attorney",1,8,8,9,8,9,9,8,7,1
1,23,56580,2,"Corporate attorney",1,8,8,8,8,8,7,8,7,2
1,23,56580,2,"Corporate attorney",1,7,8,7,8,8,7,7,7,2
1,23,56580,2,"Corporate attorney",1,7,8,7,9,8,8,7,7,1
1,24,36782,1,"Lawyer",1,8,7,9,6,9,7,8,6,2
1,24,36782,1,"Lawyer",1,10,10,10,10,7,8,10,1,1
1,24,36782,1,"Lawyer",1,6,10,8,6,NA,NA,6,1,2
1,24,36782,1,"Lawyer",1,8,8,9,8,8,9,9,7,2
1,24,36782,1,"Lawyer",0,5,9,9,7,9,5,5,7,2
1,24,36782,1,"Lawyer",1,9,7,9,7,9,6,9,2,1
1,24,36782,1,"Lawyer",1,8,7,9,6,9,5,8,4,2
1,24,36782,1,"Lawyer",1,9,9,8,9,NA,7,9,7,2
1,24,36782,1,"Lawyer",1,7,9,8,9,7,7,7,8,2
1,24,36782,1,"Lawyer",1,6,9,9,7,8,NA,6,6,2
1,25,NA,1,"research/financial industry",1,7,7,8,8,7,7,7,6,2
1,25,NA,1,"research/financial industry",1,7,8,7,5,7,7,7,5,2
1,25,NA,1,"research/financial industry",1,7,6,6,6,6,6,6,7,2
1,25,NA,1,"research/financial industry",1,6,6,7,7,8,7,6,6,2
1,25,NA,1,"research/financial industry",0,5,8,7,7,7,7,6,7,2
1,25,NA,1,"research/financial industry",1,6,6,8,8,8,7,6,6,2
1,25,NA,1,"research/financial industry",1,8,8,8,6,6,6,7,7,2
1,25,NA,1,"research/financial industry",1,8,7,7,7,8,7,7,6,2
1,25,NA,1,"research/financial industry",1,6,6,7,8,7,7,6,5,2
1,25,NA,1,"research/financial industry",0,NA,8,7,7,7,7,6,6,2
1,30,38548,3,"academics or journalism",0,3,6,7,5,8,7,2,1,2
1,30,38548,3,"academics or journalism",0,5,3,4,3,5,3,4,3,2
1,30,38548,3,"academics or journalism",0,6,3,5,4,5,4,2,2,2
1,30,38548,3,"academics or journalism",1,7,6,3,5,6,5,6,4,2
1,30,38548,3,"academics or journalism",0,2,3,4,4,5,3,3,3,2
1,30,38548,3,"academics or journalism",0,5,6,8,4,5,4,3,3,2
1,30,38548,3,"academics or journalism",0,7,6,5,4,4,3,5,4,2
1,30,38548,3,"academics or journalism",0,6,4,7,5,6,4,4,4,2
1,30,38548,3,"academics or journalism",1,8,6,7,8,6,5,8,4,2
1,30,38548,3,"academics or journalism",0,7,7,4,3,4,4,3,6,2
1,27,52010,1,"Financial Services",0,6,7,5,6,8,6,7,5,2
1,27,52010,1,"Financial Services",1,7,7,7,7,7,5,7,6,2
1,27,52010,1,"Financial Services",0,4,5,6,4,6,4,5,1,2
1,27,52010,1,"Financial Services",0,6,7,8,6,6,5,7,7,2
1,27,52010,1,"Financial Services",0,5,5,6,5,5,5,6,5,2
1,27,52010,1,"Financial Services",0,6,7,8,7,8,5,7,6,2
1,27,52010,1,"Financial Services",1,8,7,6,7,7,5,7,5,2
1,27,52010,1,"Financial Services",1,9,8,8,8,7,5,7,5,2
1,27,52010,1,"Financial Services",0,7,7,7,7,6,5,7,5,2
1,27,52010,1,"Financial Services",0,6,6,6,6,6,5,7,6,2
1,28,NA,4,"ceo",1,7,7,8,8,8,9,6.5,8,2
1,28,NA,4,"ceo",1,8,6,9,9,8,7,8,8,2
1,28,NA,4,"ceo",1,7,7,6,8,7,7,7,7,2
1,28,NA,4,"ceo",1,7,7,7,10,9,10,8,8,2
1,28,NA,4,"ceo",1,5,9,9,9,9,6,7,7,2
1,28,NA,4,"ceo",1,6,7,7,6,6,6,6,6,2
1,28,NA,4,"ceo",1,9,7,9,9,9,10,9,9,2
1,28,NA,4,"ceo",1,8,7,8,10,8,10,8,8,2
1,28,NA,4,"ceo",1,6,6,6,7,6,6,6,6,2
1,28,NA,4,"ceo",1,7,7,7,7,6,6,7,8,2
1,24,NA,1,"CEO",0,6,6,6,6,6,6,6,6,2
1,24,NA,1,"CEO",0,6,5,7,7,9,7,6,9,2
1,24,NA,1,"CEO",0,5,6,8,5,8,6,5,5,2
1,24,NA,1,"CEO",0,7,8,8,7,8,7,7,7,2
1,24,NA,1,"CEO",0,3,10,7,7,10,5,4,10,2
1,24,NA,1,"CEO",0,7,10,10,6,10,7,6,7,2
1,24,NA,1,"CEO",0,7,6,8,6,8,7,7,7,2
1,24,NA,1,"CEO",1,8,10,9,9,8,8,8,8,2
1,24,NA,1,"CEO",0,5,6,6,6,6,6,6,6,2
1,24,NA,1,"CEO",0,6,6,6,6,6,6,7,7,2
0,21,NA,6,"Undecided",0,6,8,7,9,5,7,9,1,1
0,21,NA,6,"Undecided",0,5,8,7,5,9,5,7,2,2
0,21,NA,6,"Undecided",1,8,9,8,8,7,6,9,3,NA
0,21,NA,6,"Undecided",0,5,8,8,4,9,3,6,1,2
0,21,NA,6,"Undecided",0,7,7,8,5,7,2,6,1,2
0,21,NA,6,"Undecided",0,6,8,8,6,8,4,5,2,2
0,21,NA,6,"Undecided",0,6,8,8,6,8,5,8,2,2
0,21,NA,6,"Undecided",0,4,7,7,4,7,3,5,1,2
0,21,NA,6,"Undecided",0,7,7,7,5,6,3,6,1,2
0,21,NA,6,"Undecided",1,9,9,10,9,9,8,9,5,2
0,21,NA,6,"Undecided",0,5,7,7,7,7,6,6,1,2
0,21,NA,6,"Undecided",0,7,4,6,4,4,2,2,1,2
0,21,NA,6,"Undecided",0,5,8,8,5,8,2,6,1,2
0,21,NA,6,"Undecided",0,6,8,7,7,7,2,6,1,2
0,21,NA,6,"Undecided",0,6,8,7,6,8,2,6,1,2
0,21,NA,6,"Undecided",0,5,9,9,8,9,5,8,3,2
0,27,28418,1,"Informatics",0,5,7,7,6,7,5,6,4,2
0,27,28418,1,"Informatics",0,4,7,6,6,7,2,3,3,2
0,27,28418,1,"Informatics",0,5,6,6,5,6,3,3,2,2
0,27,28418,1,"Informatics",0,5,7,7,5,7,3,4,3,2
0,27,28418,1,"Informatics",1,6,8,8,7,7,6,6,6,2
0,27,28418,1,"Informatics",1,6,7,7,4,6,6,6,6,2
0,27,28418,1,"Informatics",1,8,7,7,7,6,7,7,4,2
0,27,28418,1,"Informatics",0,5,7,7,6,6,5,5,4,2
0,27,28418,1,"Informatics",1,7,7,7,7,7,6,7,4,2
0,27,28418,1,"Informatics",0,6,7,7,5,7,4,5,3,2
0,27,28418,1,"Informatics",1,5,6,7,7,7,7,6,6,2
0,27,28418,1,"Informatics",0,3,4,5,4,4,2,2,1,2
0,27,28418,1,"Informatics",0,3,6,7,5,5,4,2,2,2
0,27,28418,1,"Informatics",1,7,7,8,6,7,8,8,5,2
0,27,28418,1,"Informatics",0,4,5,5,4,5,4,4,2,2
0,27,28418,1,"Informatics",1,6,7,7,7,7,7,7,6,2
0,21,NA,1,"psychologist",1,5,7,6,6,6,7,8,6,2
0,21,NA,1,"psychologist",0,5,7,7,6,6,7,7,6,2
0,21,NA,1,"psychologist",1,6,6,7,6,6,6,6.5,5,2
0,21,NA,1,"psychologist",1,5,7,8,6,6,7,7,6,2
0,21,NA,1,"psychologist",1,7,7,7,6,6,9,9,10,1
0,21,NA,1,"psychologist",1,6,7,7,6,7,5,7,5,2
0,21,NA,1,"psychologist",1,7,6,7,7,7,6,7,5,2
0,21,NA,1,"psychologist",0,5,6,7,6,6,6,6,5,2
0,21,NA,1,"psychologist",0,6,6,6,8,6,5,6,5,2
0,21,NA,1,"psychologist",1,7,7,6,7,6,7,8,6,2
0,21,NA,1,"psychologist",1,6,6,7,8,8,7,7,5,2
0,21,NA,1,"psychologist",0,7,6,5,4,4,4,6,4,2
0,21,NA,1,"psychologist",0,6,6,5,7,5,6,6,5,2
0,21,NA,1,"psychologist",0,NA,NA,NA,NA,NA,NA,NA,NA,NA
0,21,NA,1,"psychologist",0,6,7,6,6,5,5,6,4,2
0,21,NA,1,"psychologist",0,6,8,7,6,7,5,6,5,2
0,27,43185,2,"health/nutrition oriented social worker",0,5,6,7,7,7,NA,6,3,2
0,27,43185,2,"health/nutrition oriented social worker",0,7,8,NA,NA,8,NA,8,4,2
0,27,43185,2,"health/nutrition oriented social worker",0,6,8,NA,7,NA,NA,7,5,2
0,27,43185,2,"health/nutrition oriented social worker",0,7,8,8,8,NA,NA,7,5,2
0,27,43185,2,"health/nutrition oriented social worker",0,5,8,8,NA,8,6,7,7,2
0,27,43185,2,"health/nutrition oriented social worker",0,7,7,8,NA,8,NA,8,6,2
0,27,43185,2,"health/nutrition oriented social worker",1,9,8,7,8,NA,8,8,7,2
0,27,43185,2,"health/nutrition oriented social worker",0,5,7,7,7,7,7,7,7,2
0,27,43185,2,"health/nutrition oriented social worker",0,7,7,7,8,7,NA,7,6,2
0,27,43185,2,"health/nutrition oriented social worker",0,6,NA,NA,8,NA,6,6,5,2
0,27,43185,2,"health/nutrition oriented social worker",0,6,8,NA,8,NA,NA,7,7,2
0,27,43185,2,"health/nutrition oriented social worker",0,6,6,8,7,8,NA,7,7,2
0,27,43185,2,"health/nutrition oriented social worker",0,4,NA,NA,6,8,7,7,6,2
0,27,43185,2,"health/nutrition oriented social worker",1,8,NA,NA,7,8,8,8,7,2
0,27,43185,2,"health/nutrition oriented social worker",0,6,8,NA,8,8,8,7,6,2
0,27,43185,2,"health/nutrition oriented social worker",0,8,7,7,NA,NA,2,6,4,2
0,25,23152,1,"Social Worker",0,7,8,9,6,8,5,6,4,2
0,25,23152,1,"Social Worker",0,5,8,8,6,8,5,7,3,2
0,25,23152,1,"Social Worker",0,6,7,8,7,9,7,7,5,2
0,25,23152,1,"Social Worker",0,4,5,10,4,10,4,4,5,2
0,25,23152,1,"Social Worker",0,6,7,9,7,9,3,5,4,2
0,25,23152,1,"Social Worker",0,6,8,7,5,8,7,7,5,2
0,25,23152,1,"Social Worker",0,7,8,8,6,10,6,8,7,2
0,25,23152,1,"Social Worker",0,3,8,9,8,10,5,8,4,2
0,25,23152,1,"Social Worker",0,7,8,8,8,6,6,7,6,2
0,25,23152,1,"Social Worker",0,8,8,9,8,9,8,9,8,2
0,25,23152,1,"Social Worker",0,9,8,9,8,10,7,8,7,2
0,25,23152,1,"Social Worker",0,6,5,8,7,10,8,6,7,2
0,25,23152,1,"Social Worker",0,5,4,7,5,9,7,5,4,2
0,25,23152,1,"Social Worker",0,7,8,9,7,8,5,7,7,2
0,25,23152,1,"Social Worker",0,5,8,8,6,9,6,6,7,2
0,25,23152,1,"Social Worker",0,7,7,7,8,8,6,7,5,2
0,23,43664,1,"Social work with children",0,2,5,5,3,5,2,2,2,2
0,23,43664,1,"Social work with children",0,2,5,5,3,5,2,2,2,2
0,23,43664,1,"Social work with children",0,2,5,5,3,7,3,3,2,2
0,23,43664,1,"Social work with children",0,2,6,7,1,7,2,2,3,2
0,23,43664,1,"Social work with children",0,3,8,7,6,6,4,5,4,2
0,23,43664,1,"Social work with children",0,4,7,6,1,4,3,2,2,2
0,23,43664,1,"Social work with children",0,7,4,5,6,5,4,6,5,2
0,23,43664,1,"Social work with children",0,3,7,6,4,6,2,2,2,2
0,23,43664,1,"Social work with children",0,6,5,5,7,6,3,4,4,2
0,23,43664,1,"Social work with children",0,5,8,8,7,7,6,5,5,2
0,23,43664,1,"Social work with children",0,7,6,6,7,6,6,8,5,2
0,23,43664,1,"Social work with children",0,6,7,6,5,6,6,6,4,2
0,23,43664,1,"Social work with children",0,2,7,6,4,4,4,5,4,2
0,23,43664,1,"Social work with children",0,6,8,8,6,7,5,6,6,2
0,23,43664,1,"Social work with children",0,2,8,7,2,7,2,3,3,2
0,23,43664,1,"Social work with children",0,6,6,6,6,6,4,6,5,2
0,22,48441,1,"Speech Language Pathologist",0,2,6,6,6,6,NA,3,3,2
0,22,48441,1,"Speech Language Pathologist",0,1,6,4,2,1,NA,2,1,2
0,22,48441,1,"Speech Language Pathologist",0,1,4,6,2,6,1,2,2,2
0,22,48441,1,"Speech Language Pathologist",0,1,6,7,6,4,3,2,3,1
0,22,48441,1,"Speech Language Pathologist",0,1,3,4,2,2,1,1,4,2
0,22,48441,1,"Speech Language Pathologist",0,3,6,6,4,5,1,1,2,2
0,22,48441,1,"Speech Language Pathologist",1,8,7,6,6,4,4,6,5,2
0,22,48441,1,"Speech Language Pathologist",0,1,4,5,4,4,4,3,5,2
0,22,48441,1,"Speech Language Pathologist",0,4,6,4,5,6,7,3,1,2
0,22,48441,1,"Speech Language Pathologist",0,4,5,4,5,6,NA,2,3,2
0,22,48441,1,"Speech Language Pathologist",1,6,5,6,7,8,4,4,4,2
0,22,48441,1,"Speech Language Pathologist",0,1,2,6,1,6,2,2,3,2
0,22,48441,1,"Speech Language Pathologist",0,1,3,7,1,4,2,1,3,2
0,22,48441,1,"Speech Language Pathologist",0,6,4,8,3,8,2,3,3,2
0,22,48441,1,"Speech Language Pathologist",0,2,4,7,3,6,2,1,2,2
0,22,48441,1,"Speech Language Pathologist",0,5,6,6,4,3,4,4,1,2
0,26,NA,NA,NA,0,3,6,6,6,5,2,2,4,2
0,26,NA,NA,NA,0,2,6,5,4,5,2,2,2,2
0,26,NA,NA,NA,0,3,5,8,5,8,3,3,3,2
0,26,NA,NA,NA,0,4,6,5,4,4,3,3,4.5,2
0,26,NA,NA,NA,0,4,6,7,4,5,2,2,4,2
0,26,NA,NA,NA,0,4,6,5,3,3,3,3,3,2
0,26,NA,NA,NA,1,7,8,8,8,5,9,7.5,6.5,2
0,26,NA,NA,NA,0,4,6,6,5,4,3,2,5,2
0,26,NA,NA,NA,0,6,6,5,6,4,4,4,4,2
0,26,NA,NA,NA,0,3,5,7,5.5,5,4,4,3,2
0,26,NA,NA,NA,0,5,8,9,5,8,6,3,5,2
0,26,NA,NA,NA,1,5,4.5,6,4,5.5,6,4.5,4.5,2
0,26,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA
0,26,NA,NA,NA,1,6,6,7,5,6,7,8,5.5,2
0,26,NA,NA,NA,0,4,5,6.5,5,5,6,4,4,2
0,26,NA,NA,NA,0,4,6,6,5,6,6,4,4,2
0,22,61152,1,"Social Work Administration",0,4,9,4,4,5,NA,5,4,2
0,22,61152,1,"Social Work Administration",0,4,8,6,3,6,NA,4,4,2
0,22,61152,1,"Social Work Administration",0,6,8,7,5,5,NA,6,3,2
0,22,61152,1,"Social Work Administration",0,5,7,5,3,5,NA,5,4,NA
0,22,61152,1,"Social Work Administration",1,8,6,7,3,7,2,6,4,2
0,22,61152,1,"Social Work Administration",1,6,8,7,4,7,2,6,4,2
0,22,61152,1,"Social Work Administration",1,8,6,6,5,NA,NA,7,4,2
0,22,61152,1,"Social Work Administration",0,5,6,6,7,6,NA,6,4,2
0,22,61152,1,"Social Work Administration",1,8,7,8,8,8,6,8,5,2
0,22,61152,1,"Social Work Administration",0,7,5,6,8,6,4,5,6,2
0,22,61152,1,"Social Work Administration",1,7,7,7,7,7,NA,7,5,2
0,22,61152,1,"Social Work Administration",1,6,7,7,4,6,6,6,5,2
0,22,61152,1,"Social Work Administration",1,6,8,8,5,7,5,8,7,2
0,22,61152,1,"Social Work Administration",1,9,8,8,5,7,NA,8,5,2
0,22,61152,1,"Social Work Administration",0,6,7,6,4,6,5,6,4,NA
0,22,61152,1,"Social Work Administration",1,6,8,7,6,5,3,6,6,2
0,23,NA,1,"Lawyer",0,3,6,6,5,6,5,6,5,2
0,23,NA,1,"Lawyer",0,8,9,8,5,9,5,8,5,2
0,23,NA,1,"Lawyer",0,6,7,8,7,8,7,8,6,2
0,23,NA,1,"Lawyer",0,4,6,6,5,7,6,6,5,2
0,23,NA,1,"Lawyer",0,6,9,7,5,6,3,7,4,2
0,23,NA,1,"Lawyer",0,4,5,5,2,6,5,4,3,2
0,23,NA,1,"Lawyer",0,8,7,7,7,5,5,7,6,2
0,23,NA,1,"Lawyer",0,5,5,5,7,7,6,8,6,2
0,23,NA,1,"Lawyer",0,7,7,5,7,5,7,8,7,2
0,23,NA,1,"Lawyer",1,8,7,7,7,7,7,9,7,1
0,23,NA,1,"Lawyer",1,7,7,8,8,7,7,8,4,2
0,23,NA,1,"Lawyer",0,5,5,5,2,4,3,4,4,2
0,23,NA,1,"Lawyer",0,3,7,8,6,7,5,7,7,2
0,23,NA,1,"Lawyer",1,7,7,8,7,9,7,9,6,2
0,23,NA,1,"Lawyer",0,3,5,8,4,7,6,6,5,2
0,23,NA,1,"Lawyer",1,7,7,8,8,7,8,8,5,2
0,24,36485,1,"law",0,4,6,6,6,6,4,5,4,2
0,24,36485,1,"law",0,3,6,6,3,6,2,NA,NA,2
0,24,36485,1,"law",0,4,5,6,5,6,4,5,3,NA
0,24,36485,1,"law",0,4,5,6,5,5,5,5,4,2
0,24,36485,1,"law",0,4,6,7,5,8,5,5,4,2
0,24,36485,1,"law",0,4,5,7,3,6,4,5,4,2
0,24,36485,1,"law",0,9,6,7,7,6,5,7,4,2
0,24,36485,1,"law",0,2,3,4,2,6,2,4,3,2
0,24,36485,1,"law",1,8,9,8,8,8,8,8,8,2
0,24,36485,1,"law",1,7,8,8,6,7,5,7,8,2
0,24,36485,1,"law",1,9,7,8,9,8,8,9,9,1
0,24,36485,1,"law",0,4,6,5,5,5,5,5,4,2
0,24,36485,1,"law",0,3,8,8,5,5,5,6,4,1
0,24,36485,1,"law",0,7,7,7,6,6,6,6.5,6,2
0,24,36485,1,"law",0,4,5,6,4,5,5,5,5,2
0,24,36485,1,"law",1,9,8,7,10,9,8,8.5,9,1
0,27,NA,1,"Professor",0,4,8,7,9,NA,6,5,5,2
